ReviewedLocationName;City;Country;place_id;latitude;longitude;type;price_level;avg_google_rating;operational_status
PEPERINA Restaurante;La Población;Argentina;pl_id_1;-32.0598336;-65.0369095;restaurant;2.0;4.3;OPERATIONAL
Bros Comedor;Córdoba;Argentina;pl_id_2;-31.4148473;-64.1921049;restaurant;2.0;4.8;OPERATIONAL
Holiday Inn Resort Aruba Beach Resort Casino an IHG hotel;Aruba;;pl_id_3;12.5749425;-70.0448913;lodging;;4.1;OPERATIONAL
Bros. Comedor;Córdoba;Argentina;pl_id_4;-31.4148473;-64.1921049;restaurant;2.0;4.8;OPERATIONAL
Santuario Historico de Machu Picchu;Machu Picchu;Perú;pl_id_5;-13.1631988;-72.5452621;tourist_attraction;;4.8;OPERATIONAL
Humantay Lake;Cuzco;Perú;pl_id_6;-13.3793789;-72.58443849999999;natural_feature;;4.9;
Cusco Lodge Hotel Boutique;Cuzco;Perú;pl_id_7;-13.5149668;-71.98104479999999;lodging;;4.9;OPERATIONAL
Mistura Grill;Cuzco;Perú;pl_id_8;-13.5161569;-71.9792717;restaurant;;4.4;OPERATIONAL
La Retama Restaurant;Cuzco;Perú;pl_id_9;-13.5157766;-71.9789098;restaurant;;4.2;OPERATIONAL
Inka Time;Cuzco;Perú;pl_id_10;-13.5163783;-71.9766648;travel_agency;;4.4;OPERATIONAL
Laguna Esmeralda;Ushuaia;Argentina;pl_id_11;-54.79482669999999;-68.287638;route;;;
All Patagonia;Ushuaia;Argentina;pl_id_12;-54.8070859;-68.3143146;travel_agency;;4.8;OPERATIONAL
Laberinto Patagonia;El Hoyo de Epuyén;Argentina;pl_id_13;-42.096025;-71.54055699999999;tourist_attraction;;4.7;CLOSED_TEMPORARILY
Cabanas Sublime Bolson;El Bolson;Argentina;pl_id_14;-41.9613754;-71.531103;lodging;;4.6;OPERATIONAL
Hotel Nevada;San Carlos de Bariloche;Argentina;pl_id_15;-41.1343767;-71.30540069999999;lodging;;4.1;OPERATIONAL
El Tomillo;Mendoza;Argentina;pl_id_16;-32.8658074;-68.95105579999999;route;;;
Argentina Rafting Expeditions;Potrerillos;Argentina;pl_id_17;-32.9392217;-69.2076489;tourist_attraction;;4.8;OPERATIONAL
Olivicola Laur;Maipu;Argentina;pl_id_18;-33.0332818;-68.7694092;food;;4.7;OPERATIONAL
Cerro Fitz Roy;El Chalten;Argentina;pl_id_19;-49.271246;-73.04322599999999;natural_feature;;4.8;
Chorillo del Salto;El Chalten;Argentina;pl_id_20;-49.2954961;-72.9075198;tourist_attraction;;4.7;OPERATIONAL
Ms Turismo;San Carlos de Bariloche;Argentina;pl_id_21;-41.1348661;-71.3057584;travel_agency;;4.6;OPERATIONAL
Turisur Navegando la Patagonia;San Carlos de Bariloche;Argentina;pl_id_22;-41.1339535;-71.306534;travel_agency;;4.1;OPERATIONAL
