line;original_title;translated_title;original_text;translated_text;rating;reviewed_location_name;category;user;user_id_anonym;average_rating_tripadvisor;total_reviews_tripadvisor;city;country;month_of_visit;year_of_visit;title_sentiment;review_sentiment
1;Hermoso lugar buenos platos;Beautiful place good dishes;Muy lindo lugar , con galería , buenos platos y vinos locales , precios acorde al lugar, bien atendido. Herm/2 vista al cordón del champaqui;Very nice place, with gallery, good dishes and local wines, prices according to the place, well attended. Herm/2 view of the champaqui mountain range.;5.0;PEPERINA Restaurante;restaurant;santiagob540;id_1;4.2;153.0;La Población;Argentina;3.0;2025.0;5;4
2;Buena Experiencia;Good Experience;El lugar es agradable, la comida exelente, bien lograda, buena relación costó calidad, ojo los platos no son muy abundantes si te gusta comer mucho.;The place is nice, the food is excellent, well prepared, good value for money, but the dishes are not very abundant if you like to eat a lot.;5.0;Bros Comedor;restaurant;santiagob540;id_1;4.9;375.0;Córdoba;Argentina;3.0;2025.0;3;4
3;Pro y contras;Pro and contras;Hotel todo incluído donde se destaca una distinguida gastronómico ( sin buffet) en sus restaurantes. Habitación amplias y limpias muy buena calidad de ropa blan...;All inclusive hotel where a distinguished gastronomic (without buffet) in its restaurants stands out. Spacious and clean rooms, very good quality linen and towels.;4.0;Holiday Inn Resort Aruba Beach Resort Casino an IHG hotel;hotel;santiagob540;id_1;4.3;7693.0;Aruba;;;;3;4
4;Excelente y súper recomendable;Excellent and highly recommended;Súper recomendable. Pedimos el menú flash que consta de entrada principal y postre. Explosión de sabores!!!! Ambiente agradable y atención espectacular. Excelen...;Highly recommended. We ordered the flash menu consisting of main course and dessert. Explosion of flavors !!!! Nice atmosphere and spectacular service. Excellent...;5.0;Bros. Comedor;restaurant;Violeareco;id_2;4.9;375.0;Córdoba;Argentina;4.0;2025.0;4;4
5;Maravillada;Maravillada;Sin palabras haber podido conocer este lugar!!!!! Elvis de la agencia Inka time ha hecho de nuestra estadía en Aguas calientes y en llaqta una experiencia marav...;Without words to have been able to know this place!!!!! Elvis from Inka time agency has made our stay in Aguas calientes and Llaqta a wonderful experience....;5.0;Santuario Historico de Machu Picchu;attraction;Violeareco;id_2;4.9;20108.0;Machu Picchu;Perú;;;3;4
6;Linda experiencia;Nice experience;Hermoso entorno, difícil de llegar pues hay que arrancar muy temprano por la mañana y después de horas de viajes, el coordinador te hacen subir en no más de 2 h...;Beautiful environment, difficult to reach because you have to start very early in the morning and after hours of travel, the coordinator makes you climb in no more than 2 hours....;4.0;Humantay Lake;attraction;Violeareco;id_2;4.8;1080.0;Cuzco;Perú;;;4;3
7;Excelente opción para hospedarse;Excellent lodging option;La ubicación y la atención se llevan todas las buenas opiniones! Tampoco dejar pasar las instalaciones (habitación triple con TV, aire, pues es un hotel chiquit...;The location and the attention get all the good opinions! Also the facilities (triple room with TV, air conditioning, as it is a small hotel) are not to be overlooked....;5.0;Cusco Lodge Hotel Boutique;hotel;Violeareco;id_2;4.9;75.0;Cuzco;Perú;;;4;3
8;Muy bueno todo;Very good everything;Buena comida, precios accesibles y muy buena atención son las principales características de este restaurante. La ubicación a un costado de la plaza es inmejora...;Good food, affordable prices and very good service are the main characteristics of this restaurant. The location next to the plaza is unbeatable....;5.0;Mistura Grill;restaurant;Violeareco;id_2;4.9;4320.0;Cuzco;Perú;;;4;4
9;Buena comida y excelente atención;Good food and excellent service;Muy rica comida, buen precio y excelente atención. Muy recomendable. La ubicación excelente y la vista privilegiada dan a la cena un toque único e inolvidable.;Very tasty food, good price and excellent service. Highly recommended. The excellent location and the privileged view give the dinner a unique and unforgettable touch.;5.0;La Retama Restaurant;restaurant;Violeareco;id_2;4.3;283.0;Cuzco;Perú;7.0;2024.0;4;4
10;Excelente;Excellent;Excelente servicio y atención. Sin dudas los volvería a elegir, el tour por Machupicchu con Elvis como guía fue una experiencia única. Muyyyy recomendable;Excellent service and attention. I would definitely choose them again, the tour of Machupicchu with Elvis as a guide was a unique experience. Highly recommended;5.0;Inka Time;attraction;Violeareco;id_2;4.8;557.0;Cuzco;Perú;;;3;4
11;No dejar de ir;Do not stop going;Hermoso trekking!! El recorrido es muy vistoso. Llegamos en combis que salen del puerto por 7000 pesos. En cinco horas se hace tranquilamente (con descanso y ma...;Beautiful trekking! The tour is very attractive. We arrived in vans that leave from the port for 7000 pesos. It takes five hours to do it quietly (with rest and ...;5.0;Laguna Esmeralda;attraction;Violeareco;id_2;4.7;2796.0;Ushuaia;Argentina;;;2;3
12;Mini trekking;Mini trekking;Los primeros metros son muy empinados, hay que hacerlos despacio. Después sobre la nieve son muy útiles los bastones. Llegue en remis por 2600 pesos hasta la ba...;The first meters are very steep, you have to do them slowly. Afterwards, on the snow, poles are very useful. I arrived by remis for 2600 pesos to the base...;5.0;All Patagonia;unknown;Violeareco;id_2;4.3;8.0;Ushuaia;Argentina;;;3;3
